Inductance(mH);Voltage (mV)
1;21,7
2;29,1
3;35
4;45,3
5;50,2
6;64,4
7;71,5
8;78,9
9;89,3
10;101
11;103
12;115
13;128
14;133
15;158
16;153
17;156
18;188
19;192
20;193
21;195
22;214
23;247
24;249
25;246
26;240
27;244
28;265
29;281
30;303
31;301
32;326
33;332
34;355
35;351
36;359
37;362
38;365
39;411
40;395
41;411
42;412
43;413
44;414
45;427
46;452
47;448
48;444
49;447
50;444
51;452
52;479
53;526
54;537
55;539
56;551
57;555
58;546
59;571
60;576
61;586
62;600
63;613
64;610
65;602
66;619
67;702
68;678
69;685
70;738
71;746
72;739
73;765
74;784
75;764
76;782
77;785
78;780
79;804
80;789
81;794
82;849
83;855
84;855
85;846
86;886
87;886
88;887
89;904
90;922
91;930
92;932
93;931
94;911
95;946
96;952
97;951
98;933
99;930
100;943
