Inductance;Voltage
 0.1; 21.7
 0.2; 29.1
 0.3;35
 0.4; 45.3
 0.5; 50.2
 0.6; 64.4
 0.7; 71.5
 0.8; 78.9
 0.9; 89.3
1;101
 1.1;103
 1.2;115
 1.3;128
 1.4;133
 1.5;158
 1.6;153
 1.7;156
 1.8;188
 1.9;192
2;193
 2.1;195
 2.2;214
 2.3;247
 2.4;249
 2.5;246
 2.6;240
 2.7;244
 2.8;265
 2.9;281
3;303
 3.1;301
 3.2;326
 3.3;332
 3.4;355
 3.5;351
 3.6;359
 3.7;362
 3.8;365
 3.9;411
4;395
 4.1;411
 4.2;412
 4.3;413
 4.4;414
 4.5;427
 4.6;452
 4.7;448
 4.8;444
 4.9;447
5;444
 5.1;452
 5.2;479
 5.3;526
 5.4;537
 5.5;539
 5.6;551
 5.7;555
 5.8;546
 5.9;571
6;576
 6.1;586
 6.2;600
 6.3;613
 6.4;610
 6.5;602
 6.6;619
 6.7;702
 6.8;678
 6.9;685
7;738
 7.1;746
 7.2;739
 7.3;765
 7.4;784
 7.5;764
 7.6;782
 7.7;785
 7.8;780
 7.9;804
8;789
 8.1;794
 8.2;849
 8.3;855
 8.4;855
 8.5;846
 8.6;886
 8.7;886
 8.8;887
 8.9;904
9;922
 9.1;930
 9.2;932
 9.3;931
 9.4;911
 9.5;946
 9.6;952
 9.7;951
 9.8;933
 9.9;930
10;943
